Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
23-24,35,Deportivo Alavés,Girona FC,1,Owono,Jesús Owono,G,1,1,6.9,90,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,9
23-24,35,Deportivo Alavés,Girona FC,1,Abqar,Abdelkabir Abqar,D,2,1,6.5,90,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3
23-24,35,Deportivo Alavés,Girona FC,1,Javi López,Javi López,D,1,1,7.0,80,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,9
23-24,35,Deportivo Alavés,Girona FC,1,Rafa Marín,Rafa Marín,D,1,1,7.2,90,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,4
23-24,35,Deportivo Alavés,Girona FC,1,Tenaglia,Nahuel Tenaglia,D,1,1,6.9,90,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,7
23-24,35,Deportivo Alavés,Girona FC,1,Guridi,Jon Guridi,M,17,4,8.9,90,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4
23-24,35,Deportivo Alavés,Girona FC,1,Guevara,Ander Guevara,M,2,1,7.1,90,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5
23-24,35,Deportivo Alavés,Girona FC,1,Giuliano,Giuliano Simeone,M,8,3,6.7,73,0,1,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,11
23-24,35,Deportivo Alavés,Girona FC,1,Protesoni,Carlos Benavídez,M,2,1,6.8,63,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
23-24,35,Deportivo Alavés,Girona FC,1,Carlos Vicente,Carlos Vicente,M,7,2,7.0,63,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,8
23-24,35,Deportivo Alavés,Girona FC,1,Kike García,Kike García,F,2,1,6.5,73,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,7
23-24,35,Deportivo Alavés,Girona FC,1,R. Duarte,Rubén Duarte,D,1,1,6.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
